iter	Passed	Remaining
0	2	2732
1	4	2436
2	6	2278
3	9	2308
4	11	2311
5	13	2293
6	16	2288
7	18	2267
8	20	2276
9	23	2291
10	25	2282
11	27	2274
12	29	2266
13	31	2250
14	34	2285
15	37	2286
16	39	2275
17	41	2265
18	43	2255
19	46	2258
20	48	2258
21	50	2252
22	52	2242
23	54	2233
24	56	2222
25	60	2254
26	62	2251
27	64	2241
28	66	2234
29	68	2226
30	71	2222
31	73	2222
32	74	2194
33	77	2189
34	79	2183
35	81	2179
36	83	2171
37	85	2167
38	87	2164
39	89	2159
40	92	2155
41	94	2151
42	96	2151
43	99	2151
44	101	2147
45	103	2144
46	105	2141
47	107	2137
48	110	2150
49	113	2147
50	115	2143
51	117	2139
52	119	2135
53	121	2130
54	123	2129
55	126	2126
56	128	2122
57	130	2118
58	132	2114
59	135	2118
60	137	2121
61	140	2119
62	142	2116
63	144	2113
64	146	2111
65	149	2110
66	151	2107
67	153	2103
68	155	2100
69	157	2096
70	160	2094
71	162	2094
72	164	2091
73	166	2087
74	168	2083
75	171	2080
76	173	2083
77	176	2084
78	178	2080
79	180	2077
80	182	2074
81	184	2069
82	187	2070
83	189	2067
84	191	2064
85	193	2060
86	196	2057
87	198	2062
88	201	2059
89	203	2057
90	205	2053
91	207	2049
92	209	2047
93	212	2046
94	214	2042
95	216	2040
96	218	2036
97	220	2033
98	223	2030
99	225	2028
100	227	2025
101	229	2022
102	232	2020
103	234	2017
104	237	2020
105	239	2017
106	241	2014
107	243	2011
108	245	2007
109	247	2004
110	250	2006
111	252	2004
112	254	2000
113	257	1998
114	259	1995
115	261	1992
116	263	1990
117	265	1988
118	268	1985
119	270	1981
120	272	1978
121	275	1982
122	277	1981
123	279	1977
124	282	1974
125	284	1971
126	286	1968
127	289	1969
128	291	1966
129	293	1964
130	295	1961
131	297	1959
132	301	1962
133	303	1960
134	305	1957
135	307	1954
136	309	1951
137	311	1947
138	314	1950
139	317	1948
140	319	1946
141	321	1943
142	323	1940
143	326	1941
144	328	1938
145	331	1936
146	333	1934
147	335	1930
148	337	1927
149	339	1925
150	342	1923
151	344	1920
152	346	1917
153	348	1914
154	351	1914
155	353	1913
156	355	1910
157	357	1907
158	360	1904
159	362	1901
160	365	1902
161	367	1900
162	369	1897
163	371	1894
164	373	1891
165	376	1889
166	378	1887
167	380	1883
168	382	1881
169	384	1878
170	386	1875
171	389	1876
172	392	1874
173	394	1871
174	396	1869
175	398	1866
176	400	1863
177	403	1862
178	405	1859
179	407	1856
180	409	1853
181	411	1850
182	414	1850
183	417	1851
184	419	1847
185	421	1843
186	423	1840
187	425	1837
188	428	1838
189	430	1835
190	432	1832
191	434	1829
192	436	1826
193	439	1824
194	441	1821
195	443	1819
196	445	1816
197	447	1814
198	450	1811
199	452	1809
200	454	1808
201	457	1805
202	459	1803
203	461	1800
204	463	1797
205	466	1798
206	468	1795
207	471	1793
208	473	1790
209	475	1787
210	477	1785
211	479	1783
212	481	1780
213	483	1777
214	486	1775
215	488	1772
216	490	1770
217	492	1768
218	495	1765
219	497	1762
220	499	1759
221	501	1756
222	504	1757
223	506	1755
224	508	1752
225	511	1750
226	513	1747
227	515	1744
228	517	1742
229	519	1740
230	522	1737
231	524	1735
232	526	1732
233	529	1732
234	531	1730
235	533	1727
236	535	1725
237	538	1722
238	540	1720
239	542	1719
240	545	1716
241	547	1714
242	549	1711
243	551	1708
244	553	1707
245	556	1704
246	558	1702
247	560	1699
248	562	1696
249	564	1694
250	567	1693
251	569	1691
252	572	1689
253	574	1686
254	576	1683
255	578	1681
256	581	1680
257	583	1677
258	585	1675
259	587	1672
260	589	1669
261	592	1668
262	594	1667
263	597	1664
264	599	1662
265	601	1659
266	603	1657
267	606	1657
268	609	1655
269	611	1652
270	613	1650
271	615	1647
272	618	1647
273	620	1644
274	622	1642
275	625	1639
276	627	1637
277	629	1634
278	631	1632
279	633	1630
280	636	1627
281	638	1625
282	640	1622
283	642	1620
284	645	1618
285	647	1615
286	649	1613
287	651	1610
288	653	1607
289	656	1606
290	658	1604
291	660	1601
292	662	1599
293	664	1596
294	667	1594
295	669	1593
296	672	1590
297	674	1588
298	676	1586
299	678	1583
300	681	1581
301	683	1579
302	685	1576
303	687	1574
304	689	1571
305	691	1569
306	695	1569
307	697	1567
308	699	1564
309	701	1562
310	703	1559
311	707	1559
312	709	1558
313	712	1555
314	714	1553
315	716	1550
316	718	1548
317	720	1545
318	722	1543
319	725	1540
320	727	1538
321	729	1535
322	731	1533
323	733	1531
324	735	1528
325	738	1526
326	740	1523
327	742	1521
328	745	1520
329	747	1518
330	749	1515
331	752	1513
332	754	1510
333	756	1507
334	758	1505
335	760	1503
336	762	1500
337	765	1498
338	767	1495
339	770	1494
340	772	1493
341	774	1490
342	776	1488
343	779	1485
344	781	1483
345	784	1482
346	786	1479
347	788	1476
348	790	1474
349	792	1471
350	794	1469
351	797	1467
352	799	1465
353	801	1462
354	803	1460
355	805	1457
356	808	1456
357	811	1454
358	813	1451
359	815	1449
360	817	1446
361	819	1444
362	821	1442
363	823	1439
364	825	1436
365	828	1434
366	830	1432
367	832	1429
368	834	1427
369	836	1425
370	839	1422
371	841	1420
372	843	1417
373	846	1416
374	848	1414
375	850	1411
376	852	1409
377	855	1406
378	857	1404
379	860	1403
380	862	1401
381	864	1399
382	866	1396
383	868	1393
384	871	1392
385	874	1390
386	876	1387
387	878	1385
388	880	1383
389	882	1380
390	885	1379
391	887	1376
392	889	1374
393	891	1371
394	894	1369
395	896	1367
396	898	1365
397	900	1362
398	902	1359
399	905	1357
400	907	1354
401	909	1353
402	912	1351
403	914	1348
404	916	1346
405	918	1343
406	920	1341
407	923	1339
408	925	1337
409	927	1334
410	929	1332
411	931	1329
412	934	1327
413	936	1325
414	938	1323
415	940	1320
416	942	1318
417	944	1315
418	947	1314
419	950	1312
420	952	1309
421	954	1307
422	956	1305
423	958	1302
424	961	1300
425	963	1297
426	965	1295
427	967	1292
428	969	1290
429	971	1287
430	974	1285
431	976	1283
432	978	1281
433	980	1278
434	982	1276
435	985	1274
436	987	1271
437	989	1269
438	991	1267
439	993	1264
440	995	1262
441	998	1260
442	1000	1258
443	1002	1255
444	1005	1253
445	1007	1251
446	1009	1248
447	1011	1246
448	1014	1244
449	1016	1242
450	1018	1239
451	1020	1237
452	1022	1234
453	1024	1232
454	1026	1229
455	1028	1227
456	1030	1224
457	1033	1222
458	1035	1220
459	1037	1217
460	1039	1215
461	1041	1213
462	1043	1210
463	1046	1208
464	1048	1206
465	1051	1204
466	1053	1202
467	1055	1200
468	1057	1197
469	1060	1195
470	1062	1193
471	1064	1191
472	1066	1188
473	1068	1186
474	1070	1183
475	1073	1181
476	1075	1179
477	1077	1177
478	1080	1174
479	1082	1172
480	1084	1170
481	1086	1168
482	1089	1166
483	1091	1163
484	1093	1161
485	1095	1158
486	1097	1156
487	1100	1154
488	1102	1152
489	1104	1149
490	1106	1147
491	1108	1144
492	1110	1142
493	1113	1140
494	1115	1138
495	1117	1135
496	1119	1133
497	1122	1131
498	1124	1128
499	1126	1126
500	1128	1124
501	1130	1121
502	1132	1119
503	1134	1116
504	1136	1114
505	1139	1112
506	1141	1109
507	1143	1107
508	1145	1105
509	1147	1102
510	1149	1100
511	1152	1098
512	1154	1096
513	1156	1093
514	1158	1091
515	1160	1088
516	1163	1086
517	1165	1084
518	1167	1082
519	1169	1079
520	1171	1077
521	1173	1074
522	1176	1072
523	1178	1070
524	1180	1068
525	1182	1065
526	1184	1063
527	1186	1061
528	1189	1059
529	1191	1056
530	1193	1054
531	1195	1052
532	1197	1049
533	1199	1047
534	1202	1045
535	1204	1042
536	1206	1040
537	1208	1037
538	1210	1035
539	1212	1033
540	1214	1030
541	1217	1028
542	1219	1026
543	1221	1023
544	1223	1021
545	1225	1018
546	1227	1016
547	1229	1014
548	1231	1011
549	1233	1009
550	1235	1007
551	1238	1004
552	1240	1002
553	1243	1000
554	1245	998
555	1247	996
556	1249	993
557	1252	991
558	1254	989
559	1256	987
560	1258	985
561	1260	982
562	1262	980
563	1265	978
564	1267	975
565	1269	973
566	1271	971
567	1273	968
568	1275	966
569	1278	964
570	1280	961
571	1282	959
572	1284	957
573	1286	954
574	1288	952
575	1291	950
576	1293	948
577	1295	945
578	1297	943
579	1299	940
580	1301	938
581	1303	936
582	1305	934
583	1308	931
584	1310	929
585	1312	927
586	1314	924
587	1316	922
588	1318	920
589	1320	917
590	1322	915
591	1324	913
592	1326	910
593	1329	908
594	1331	906
595	1333	903
596	1335	901
597	1337	899
598	1339	896
599	1341	894
600	1343	891
601	1345	889
602	1347	887
603	1349	884
604	1351	882
605	1353	880
606	1356	878
607	1358	875
608	1360	873
609	1362	871
610	1364	868
611	1366	866
612	1369	864
613	1371	861
614	1373	859
615	1375	857
616	1377	854
617	1380	853
618	1382	850
619	1384	848
620	1386	846
621	1388	843
622	1390	841
623	1392	838
624	1394	836
625	1396	834
626	1398	831
627	1400	829
628	1402	827
629	1404	824
630	1406	822
631	1408	820
632	1410	817
