model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.607,0.3357,0.7143,0.4567,0.6886,0.3652,0.42,566,190,376,76
lightgbm,base,0.6983,0.4102,0.6955,0.516,0.7584,0.4537,0.41,451,185,266,81
catboost,base,0.7643,0.4939,0.7556,0.5973,0.8237,0.5501,0.4,407,201,206,65
random_forest,base,0.7487,0.4663,0.5977,0.5239,0.764,0.4748,0.49,341,159,182,107
lightgbm_regressor,base,0.7591,0.4871,0.782,0.6003,0.8343,0.611,0.4,427,208,219,58
xgboost_regressor,base,0.7652,0.4923,0.4812,0.4867,0.7129,0.4931,0.67,260,128,132,138
random_forest_regressor,base,0.8078,0.568,0.7068,0.6298,0.8474,0.5948,0.48,331,188,143,78
svm_regressor,base,0.4313,0.2728,0.8759,0.4161,0.6302,0.3298,0.18,854,233,621,33
meta_model,ensemble,0.8017,0.5633,0.6353,0.5972,0.8329,0.6188,0.53,300,169,131,97
simple_ensemble,ensemble,0.7757,0.5102,0.7556,0.6091,0.8426,0.6086,0.43,394,201,193,65
